Question,Response
1,3
2,3
3,1
4,2
5,3
6,1
7,5
8,2
9,1
10,5
11,3
12,2
13,1
14,2
15,5
16,2
17,1
18,5
19,4
20,5
21,5
22,5
23,2
24,4
25,4
26,3
27,3
28,3
29,3
30,4
31,5
32,4
33,2
34,5
35,2
36,3
37,3
38,1
39,1
40,5
41,3
42,4
43,5
44,4
45,5
46,3
47,3
48,1
49,3
50,4
51,4
52,3
53,5
54,5
55,1
56,4
57,5
58,4
59,5
60,2
61,2
62,3
63,3
64,4
65,5
66,2
67,1
68,5
69,4
70,2
71,1
72,3
73,4
74,1
75,4
76,1
77,4
78,1
79,2
80,4
81,4
82,2
83,2
84,2
85,5
86,3
87,1
88,3
89,3
90,3
91,3
92,5
93,3
94,1
95,1
96,3
97,4
98,3
99,2
100,2
