Domain,Score
h,3.1875
e,2.4375
x,3.5625
a,3.3125
c,3.25
o,3.375

Question,Response
1,5
2,5
3,3
4,2
5,2
6,2
7,4
8,1
9,4
10,2
11,3
12,1
13,2
14,5
15,1
16,3
17,3
18,1
19,4
20,1
21,5
22,3
23,1
24,5
25,4
26,3
27,5
28,3
29,5
30,2
31,3
32,3
33,2
34,5
35,5
36,1
37,4
38,4
39,5
40,3
41,2
42,3
43,5
44,2
45,2
46,5
47,4
48,3
49,1
50,4
51,1
52,4
53,2
54,5
55,3
56,4
57,5
58,5
59,1
60,4
61,5
62,1
63,2
64,3
65,2
66,5
67,4
68,4
69,1
70,1
71,2
72,3
73,5
74,4
75,2
76,4
77,4
78,3
79,5
80,1
81,1
82,1
83,2
84,3
85,1
86,5
87,1
88,5
89,3
90,2
91,1
92,3
93,3
94,4
95,4
96,2
97,2
98,5
99,3
100,1
